asin,title,brand,category,price,cost,units_sold,rating,reviews_count
B100000,Headphones,DeLonghi,Clothing,496.96,232.22,335,1.3,200
B100001,Running Shoes,Adidas,Books,250.33,89.98,115,1.8,101
B100002,Camera,DeLonghi,Toys,419.6,376.51,333,2.6,18
B100003,Smartphone,Canon,Clothing,408.68,107.41,466,2.4,365
B100004,Headphones,Apple,Toys,44.99,396.02,330,3.8,480
B100005,Smartwatch,LogiTech,Health,52.63,170.37,424,1.4,421
B100006,Coffee Maker,Bose,Toys,333.31,326.01,313,2.9,533
B100007,Headphones,Bose,Health,136.96,261.07,11,4.2,358
B100008,Camera,Adidas,Books,332.19,373.73,424,3.7,640
B100009,Smartphone,Bose,Toys,80.87,252.04,104,3.5,880
B100010,Running Shoes,Canon,Sports,204.56,234.58,175,2.0,948
B100011,Camera,Samsung,Electronics,60.21,262.88,386,2.6,148
B100012,Camera,Adidas,Books,148.23,315.65,475,1.7,496
B100013,Coffee Maker,DeLonghi,Electronics,53.27,360.04,436,3.0,390
B100014,Laptop,HP,Sports,485.58,110.39,374,3.3,749
B100015,Smartphone,Nike,Home Appliances,203.58,84.35,120,3.5,6
B100016,Bluetooth Speaker,Canon,Home Appliances,451.58,18.57,237,4.5,981
B100017,Camera,DeLonghi,Clothing,485.87,151.18,498,1.2,332
B100018,Laptop,Samsung,Beauty,455.69,339.24,236,2.6,22
B100019,Bluetooth Speaker,HP,Home Appliances,232.93,32.59,456,3.4,955
B100020,Smartphone,Bose,Books,391.66,217.72,305,3.3,981
B100021,Wireless Mouse,Samsung,Home Appliances,85.31,279.44,443,1.1,89
B100022,Smartwatch,Adidas,Books,56.47,335.56,38,1.8,529
B100023,Laptop,Sony,Books,439.68,235.45,272,4.4,884
B100024,Fitness Tracker,Sony,Electronics,25.25,78.6,376,3.1,582
B100025,Wireless Mouse,Bose,Home Appliances,486.44,385.99,344,2.7,65
B100026,Smartwatch,Sony,Toys,339.35,42.39,251,4.6,52
B100027,Coffee Maker,Sony,Health,215.61,308.75,471,1.3,402
B100028,Headphones,DeLonghi,Home Appliances,79.27,39.19,375,4.7,703
